epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.524,3.75245,22.1967,0.86457,0.00028,0.09402,4e-05,1e-05,3.49682,10.9748,0.73652,0.000653061,0.000653061,0.000653061
2,490.07,3.71526,9.33947,0.7667,0.02059,0.07692,0.00331,0.00087,3.75407,13.5163,1.7727,0.0012936,0.0012936,0.0012936
3,774.665,3.69506,7.22403,0.76263,0.46631,0.33333,0.22166,0.04206,3.55243,4.51645,0.81768,0.00190773,0.00190773,0.00190773
4,1041.56,3.67977,5.67104,0.74513,0.5888,0.40171,0.33238,0.07964,3.3231,4.34835,0.81157,0.0018812,0.0018812,0.0018812
5,1363.52,3.59128,4.25785,0.73329,0.35178,0.31624,0.24395,0.04922,3.49751,3.35794,0.75598,0.0018416,0.0018416,0.0018416
6,2047.11,3.43973,3.31148,0.72743,0.33404,0.32479,0.22689,0.04996,3.64358,7.21514,0.85139,0.001802,0.001802,0.001802
7,2307.42,3.32657,2.58634,0.71465,0.68093,0.51074,0.46462,0.13166,3.50057,2.37694,0.89526,0.0017624,0.0017624,0.0017624
8,2626.97,3.23649,2.29157,0.71858,0.67624,0.55556,0.51431,0.13999,3.55455,2.0753,0.89982,0.0017228,0.0017228,0.0017228
9,2949.01,3.24139,2.06897,0.72616,0.73589,0.54775,0.55117,0.18423,3.2963,1.78709,0.93492,0.0016832,0.0016832,0.0016832
10,3329.51,3.20229,1.92857,0.72347,0.76484,0.50041,0.49892,0.17511,3.24897,1.88286,0.8579,0.0016436,0.0016436,0.0016436
11,3669.84,3.22574,1.77884,0.71002,0.87777,0.55245,0.57286,0.15301,3.22114,1.74488,0.8755,0.001604,0.001604,0.001604
12,4302.43,3.21772,1.69767,0.72017,0.8586,0.57091,0.61055,0.19948,3.01099,1.69522,0.74431,0.0015644,0.0015644,0.0015644
13,4637.64,3.18883,1.64879,0.71536,0.85986,0.58974,0.62341,0.21043,3.06062,1.38376,0.75837,0.0015248,0.0015248,0.0015248
14,4960.71,3.08659,1.51327,0.713,0.82797,0.57591,0.62216,0.23422,3.04189,1.29861,0.75868,0.0014852,0.0014852,0.0014852
15,5246.75,3.06323,1.45396,0.72027,0.81976,0.58974,0.62184,0.18382,3.10214,1.5437,0.77146,0.0014456,0.0014456,0.0014456
16,5504.5,2.93002,1.39276,0.70278,0.87629,0.5812,0.64911,0.23412,3.03043,1.32695,0.73749,0.001406,0.001406,0.001406
17,5743.12,2.99282,1.32958,0.70536,0.86211,0.58974,0.592,0.16479,3.07117,1.26816,0.74667,0.0013664,0.0013664,0.0013664
18,7752.27,3.05459,1.28969,0.69846,0.82817,0.61795,0.63067,0.20121,3.04496,1.29668,0.76697,0.0013268,0.0013268,0.0013268
19,8002.22,2.95037,1.27078,0.70274,0.81328,0.62393,0.6666,0.20546,3.10035,1.17196,0.74802,0.0012872,0.0012872,0.0012872
20,8246.37,2.93601,1.24619,0.70242,0.89954,0.62393,0.67925,0.23617,2.84832,1.15522,0.73413,0.0012476,0.0012476,0.0012476
21,8587.42,2.84153,1.15235,0.70088,0.86561,0.6056,0.6327,0.23705,2.98182,1.26271,0.75392,0.001208,0.001208,0.001208
