epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.51,3.96115,38.7047,0.92963,0,0,0,0,4.00544,14.8338,0.78718,0.00044,0.00044,0.00044
2,216.34,4.13312,13.6879,0.79722,0.00023,0.06897,2e-05,1e-05,3.89316,22.9878,0.74121,0.00088218,0.00088218,0.00088218
3,355.151,3.96252,10.1094,0.7596,0.0009,0.27586,0.10805,0.03054,3.76974,7.71073,0.74696,0.00130614,0.00130614,0.00130614
4,474.65,3.69989,8.29334,0.77197,0.04161,0.01724,0.04584,0.01038,3.87739,7.93028,0.75455,0.00171189,0.00171189,0.00171189
5,594.96,3.83656,7.85947,0.75737,0.0409,0.03448,0.0032,0.00095,3.99344,15.4031,0.87112,0.0018416,0.0018416,0.0018416
6,718.628,3.90142,7.16653,0.75909,0.27804,0.17241,0.07919,0.01776,3.83423,7.86148,0.77545,0.001802,0.001802,0.001802
7,848.763,3.52692,5.71861,0.7555,0.5283,0.32759,0.31497,0.07389,3.36694,4.49289,0.71811,0.0017624,0.0017624,0.0017624
8,981.903,3.64191,5.27299,0.73135,0.66002,0.40175,0.37891,0.09841,3.39618,4.02733,0.7232,0.0017228,0.0017228,0.0017228
9,1109.96,3.48866,4.23235,0.71869,0.46201,0.2962,0.19005,0.04208,3.6467,4.09208,0.71957,0.0016832,0.0016832,0.0016832
10,1244.01,3.49615,4.00315,0.70099,0.76143,0.44035,0.45358,0.13343,3.20991,3.33294,0.71204,0.0016436,0.0016436,0.0016436
11,1378.24,3.5312,3.65752,0.71796,0.78179,0.44828,0.44641,0.14669,3.07897,3.14789,0.71901,0.001604,0.001604,0.001604
12,1514.42,3.25436,3.14324,0.70133,0.67776,0.37931,0.41166,0.12614,3.117,2.77256,0.70363,0.0015644,0.0015644,0.0015644
13,1647.88,3.35914,2.9776,0.70487,0.42248,0.20193,0.1848,0.06389,3.27871,3.43255,0.71993,0.0015248,0.0015248,0.0015248
14,1770.61,3.2954,2.69193,0.70197,0.63672,0.48353,0.48233,0.12442,3.34294,2.45521,0.73387,0.0014852,0.0014852,0.0014852
15,1888.68,3.26681,2.57054,0.70988,0.71794,0.43103,0.45262,0.11989,3.27755,2.53185,0.7322,0.0014456,0.0014456,0.0014456
16,1998.27,3.21759,2.44043,0.71813,0.61576,0.46552,0.4933,0.15071,3.23635,2.39025,0.71328,0.001406,0.001406,0.001406
17,2106.19,3.37245,2.38223,0.69443,0.78017,0.44828,0.45539,0.1444,3.20942,2.11699,0.70185,0.0013664,0.0013664,0.0013664
