epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.212,3.75245,22.1967,0.86457,0.00028,0.09402,4e-05,1e-05,3.49682,10.9748,0.73652,0.000653061,0.000653061,0.000653061
2,461.16,3.71526,9.33947,0.7667,0.02059,0.07692,0.00331,0.00087,3.75407,13.5163,1.7727,0.0012936,0.0012936,0.0012936
3,689.42,3.69506,7.22403,0.76263,0.46631,0.33333,0.22166,0.04206,3.55243,4.51645,0.81768,0.00190773,0.00190773,0.00190773
4,917.596,3.67977,5.67104,0.74513,0.5888,0.40171,0.33238,0.07964,3.3231,4.34835,0.81157,0.0018812,0.0018812,0.0018812
5,1149.18,3.59128,4.25785,0.73329,0.35178,0.31624,0.24395,0.04922,3.49751,3.35794,0.75598,0.0018416,0.0018416,0.0018416
6,1375.07,3.43973,3.31148,0.72743,0.33404,0.32479,0.22689,0.04996,3.64358,7.21514,0.85139,0.001802,0.001802,0.001802
7,1611.42,3.32657,2.58634,0.71465,0.68093,0.51074,0.46462,0.13166,3.50057,2.37694,0.89526,0.0017624,0.0017624,0.0017624
8,1845.39,3.23649,2.29157,0.71858,0.67624,0.55556,0.51431,0.13999,3.55455,2.0753,0.89982,0.0017228,0.0017228,0.0017228
9,2081.73,3.24139,2.06897,0.72616,0.73589,0.54775,0.55117,0.18423,3.2963,1.78709,0.93492,0.0016832,0.0016832,0.0016832
10,2316.13,3.20229,1.92857,0.72347,0.76484,0.50041,0.49892,0.17511,3.24897,1.88286,0.8579,0.0016436,0.0016436,0.0016436
11,6693.08,3.22574,1.77884,0.71002,0.87777,0.55245,0.57286,0.15301,3.22114,1.74488,0.8755,0.001604,0.001604,0.001604
12,8171.02,3.21772,1.69767,0.72017,0.8586,0.57091,0.61055,0.19948,3.01099,1.69522,0.74431,0.0015644,0.0015644,0.0015644
13,8402.27,3.18883,1.64879,0.71536,0.85986,0.58974,0.62341,0.21043,3.06062,1.38376,0.75837,0.0015248,0.0015248,0.0015248
14,8628.37,3.08659,1.51327,0.713,0.82797,0.57591,0.62216,0.23422,3.04189,1.29861,0.75868,0.0014852,0.0014852,0.0014852
15,8886.63,3.06323,1.45396,0.72027,0.81976,0.58974,0.62184,0.18382,3.10214,1.5437,0.77146,0.0014456,0.0014456,0.0014456
16,9154.41,2.93002,1.39276,0.70278,0.87629,0.5812,0.64911,0.23412,3.03043,1.32695,0.73749,0.001406,0.001406,0.001406
17,9410.25,2.99282,1.32958,0.70536,0.86211,0.58974,0.592,0.16479,3.07117,1.26816,0.74667,0.0013664,0.0013664,0.0013664
18,9638.92,3.05459,1.28969,0.69846,0.82817,0.61795,0.63067,0.20121,3.04496,1.29668,0.76697,0.0013268,0.0013268,0.0013268
19,9865.56,2.95037,1.27078,0.70274,0.81328,0.62393,0.6666,0.20546,3.10035,1.17196,0.74802,0.0012872,0.0012872,0.0012872
20,10977.1,2.93601,1.24619,0.70242,0.89954,0.62393,0.67925,0.23617,2.84832,1.15522,0.73413,0.0012476,0.0012476,0.0012476
21,11204,2.84153,1.15235,0.70088,0.86561,0.6056,0.6327,0.23705,2.98182,1.26271,0.75392,0.001208,0.001208,0.001208
22,11891.7,2.95897,1.19887,0.69218,0.81104,0.66034,0.70189,0.24976,2.95054,1.15669,0.78469,0.0011684,0.0011684,0.0011684
23,12119.1,2.79174,1.10736,0.70073,0.86678,0.61538,0.66492,0.2692,2.85973,1.13746,0.74079,0.0011288,0.0011288,0.0011288
24,12345.8,2.80519,1.1427,0.69398,0.89767,0.68376,0.7214,0.3038,2.75948,1.10485,0.74892,0.0010892,0.0010892,0.0010892
25,12573.4,2.79152,1.17306,0.69273,0.84897,0.63248,0.70283,0.2657,2.71716,1.10118,0.71413,0.0010496,0.0010496,0.0010496
26,12883,2.7736,1.10088,0.69732,0.90503,0.65164,0.73178,0.30358,2.70519,1.16107,0.74369,0.00101,0.00101,0.00101
27,13120.3,2.79893,1.08425,0.69272,0.85892,0.62445,0.68185,0.23686,2.91071,1.17022,0.74206,0.0009704,0.0009704,0.0009704
28,13356.1,2.79381,1.05463,0.68866,0.85086,0.66667,0.69254,0.23762,2.92086,1.13783,0.74142,0.0009308,0.0009308,0.0009308
29,13599.6,2.69151,1.03497,0.68658,0.85379,0.67521,0.75696,0.28928,2.70752,1.00721,0.7146,0.0008912,0.0008912,0.0008912
30,14247,2.68393,0.99758,0.68225,0.84926,0.71795,0.74878,0.27,2.81178,1.0018,0.75575,0.0008516,0.0008516,0.0008516
31,14494,2.67945,0.98059,0.69803,0.86329,0.67521,0.72346,0.29115,2.76816,1.04059,0.7576,0.000812,0.000812,0.000812
32,20160.1,2.72095,0.97561,0.68571,0.88165,0.69231,0.76191,0.31059,2.67365,0.98455,0.72766,0.0007724,0.0007724,0.0007724
33,20755.5,2.64244,0.97981,0.68616,0.96234,0.65529,0.74452,0.29128,2.80193,1.01748,0.74599,0.0007328,0.0007328,0.0007328
34,21003.4,2.72401,0.98039,0.68361,0.88971,0.68952,0.72785,0.29871,2.74786,0.94406,0.73401,0.0006932,0.0006932,0.0006932
35,21297.5,2.63413,0.92878,0.68975,0.93185,0.7094,0.76753,0.28397,2.71154,0.96758,0.73869,0.0006536,0.0006536,0.0006536
36,21628.5,2.5928,0.9079,0.67801,0.90988,0.7094,0.75246,0.3031,2.71822,0.93133,0.72676,0.000614,0.000614,0.000614
37,21985.9,2.69288,0.96027,0.68057,0.8998,0.69077,0.75654,0.29215,2.73707,0.94105,0.72483,0.0005744,0.0005744,0.0005744
38,22399.2,2.6971,0.95625,0.69809,0.84324,0.7265,0.75816,0.28794,2.84901,0.92714,0.73423,0.0005348,0.0005348,0.0005348
39,22875.1,2.67648,0.91813,0.68001,0.92963,0.7094,0.77277,0.3107,2.70083,0.90592,0.73443,0.0004952,0.0004952,0.0004952
40,23376.4,2.56211,0.86377,0.67726,0.89094,0.7094,0.76218,0.33239,2.64803,0.87679,0.74293,0.0004556,0.0004556,0.0004556
41,23877.7,2.33298,0.87824,0.68869,0.85501,0.75214,0.77943,0.32342,2.59969,0.88665,0.73559,0.000416,0.000416,0.000416
42,24365.3,2.41329,0.86398,0.70019,0.8776,0.73539,0.77485,0.31649,2.62697,0.90165,0.72632,0.0003764,0.0003764,0.0003764
43,24813.1,2.29548,0.82829,0.70702,0.88687,0.73707,0.75787,0.29703,2.64743,0.91292,0.73491,0.0003368,0.0003368,0.0003368
44,25243.4,2.34602,0.8011,0.71614,0.88423,0.71806,0.76594,0.32036,2.55083,0.89017,0.71975,0.0002972,0.0002972,0.0002972
45,25658.2,2.28137,0.81383,0.69667,0.92214,0.71795,0.77066,0.329,2.58668,0.91466,0.72236,0.0002576,0.0002576,0.0002576
46,26037.8,2.25844,0.79241,0.71196,0.89226,0.7265,0.77484,0.31432,2.61339,0.88479,0.72502,0.000218,0.000218,0.000218
47,26438.7,2.33104,0.7971,0.70529,0.88869,0.75061,0.78723,0.32973,2.59677,0.894,0.7287,0.0001784,0.0001784,0.0001784
48,26829.2,2.18544,0.74349,0.71102,0.8969,0.74356,0.79369,0.34958,2.49635,0.8578,0.7227,0.0001388,0.0001388,0.0001388
49,27223.9,2.17926,0.75085,0.70414,0.90001,0.74359,0.79363,0.35411,2.49585,0.85851,0.72424,9.92e-05,9.92e-05,9.92e-05
50,27623.2,2.26065,0.76158,0.70258,0.90795,0.75877,0.791,0.35221,2.51863,0.85974,0.72505,5.96e-05,5.96e-05,5.96e-05
