epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.096,3.97421,23.5561,0.889,0,0,0,0,3.69836,15.4306,0.73716,0.00064,0.00064,0.00064
2,311.499,3.92141,11.569,0.7843,0.00042,0.13924,0.00056,0.0001,4.47772,12.5593,0.91441,0.00127426,0.00127426,0.00127426
3,468.735,3.79615,8.81213,0.77366,0.00054,0.17722,0.04855,0.0142,3.96404,8.53175,0.78453,0.00188238,0.00188238,0.00188238
4,650.988,3.66622,6.81428,0.74457,0.48348,0.26582,0.17632,0.05482,3.61069,5.37824,0.76027,0.0018812,0.0018812,0.0018812
5,839.961,3.67035,5.64534,0.77418,0.40474,0.24051,0.16014,0.02815,3.89585,4.35468,0.80552,0.0018416,0.0018416,0.0018416
6,1022.86,3.693,4.62023,0.76431,0.69256,0.35443,0.3524,0.08795,3.41618,3.69604,0.74928,0.001802,0.001802,0.001802
7,1207.87,3.46951,3.88062,0.73652,0.56158,0.34177,0.24583,0.09514,3.19569,4.06731,0.75517,0.0017624,0.0017624,0.0017624
8,1392.88,3.43736,3.45253,0.72699,0.511,0.3038,0.28473,0.09675,3.34469,2.99213,0.75775,0.0017228,0.0017228,0.0017228
9,1578.88,3.29905,2.92612,0.72775,0.59265,0.42363,0.39388,0.07913,3.46275,2.68423,0.75682,0.0016832,0.0016832,0.0016832
10,1766.93,3.23433,2.67005,0.73724,0.62965,0.43041,0.42029,0.1016,3.24533,2.36523,0.73652,0.0016436,0.0016436,0.0016436
11,1952.02,3.24553,2.39276,0.72563,0.8388,0.46114,0.52621,0.1592,3.02174,2.1674,0.74013,0.001604,0.001604,0.001604
12,2140.28,3.21677,2.21908,0.71747,0.7222,0.52658,0.51205,0.16032,2.94098,2.24262,0.72803,0.0015644,0.0015644,0.0015644
13,2326.94,3.2512,2.2011,0.70388,0.75178,0.48101,0.50425,0.16063,3.08874,1.83853,0.72557,0.0015248,0.0015248,0.0015248
14,2518.33,3.17771,1.94381,0.71707,0.78196,0.49943,0.52295,0.17502,2.97723,1.67862,0.72435,0.0014852,0.0014852,0.0014852
15,2714.31,3.06777,1.8235,0.7079,0.85891,0.46835,0.54291,0.19728,2.92821,1.72518,0.71529,0.0014456,0.0014456,0.0014456
16,2905.32,3.17001,1.74177,0.71281,0.72081,0.49025,0.52312,0.14885,3.11403,1.64569,0.71351,0.001406,0.001406,0.001406
17,3082.81,3.05391,1.69998,0.7035,0.85458,0.5443,0.60155,0.1833,2.98639,1.75602,0.72509,0.0013664,0.0013664,0.0013664
18,3251.54,2.86968,1.54761,0.71904,0.85298,0.51899,0.55065,0.18915,2.8889,1.60188,0.72203,0.0013268,0.0013268,0.0013268
19,3422.76,3.02833,1.5738,0.71279,0.89294,0.53165,0.62691,0.2234,2.8686,1.39454,0.72824,0.0012872,0.0012872,0.0012872
20,3608.13,2.95034,1.5314,0.68974,0.70511,0.62025,0.604,0.18032,2.992,1.53306,0.71608,0.0012476,0.0012476,0.0012476
21,3789.71,2.99165,1.46328,0.701,0.75007,0.58228,0.62392,0.22463,2.85159,1.3314,0.70447,0.001208,0.001208,0.001208
22,3971.11,2.99727,1.47782,0.71114,0.86842,0.5443,0.61257,0.23389,2.76422,1.28843,0.70734,0.0011684,0.0011684,0.0011684
23,4151.43,2.79407,1.29827,0.70271,0.85648,0.56962,0.63044,0.23723,2.76429,1.28163,0.70837,0.0011288,0.0011288,0.0011288
24,4331.22,2.96188,1.37869,0.69537,0.90817,0.56962,0.64332,0.22005,2.89094,1.31452,0.70827,0.0010892,0.0010892,0.0010892
25,4505.32,2.95757,1.32471,0.70566,0.72473,0.56962,0.58087,0.21283,2.87378,1.53445,0.7152,0.0010496,0.0010496,0.0010496
26,4670.8,2.91736,1.33505,0.71483,0.84618,0.5443,0.5897,0.23934,2.7698,1.29674,0.7007,0.00101,0.00101,0.00101
27,4835.97,2.81072,1.30024,0.7182,0.76248,0.59494,0.62379,0.21372,2.91385,1.23591,0.69886,0.0009704,0.0009704,0.0009704
28,5024.17,2.82701,1.2721,0.70738,0.91442,0.54106,0.62704,0.23821,2.81326,1.24265,0.70385,0.0009308,0.0009308,0.0009308
29,5206.11,2.79888,1.25448,0.70684,0.82255,0.58228,0.62683,0.2254,2.91018,1.16936,0.70536,0.0008912,0.0008912,0.0008912
