epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1286,3.0779,85.0152,0.74121,0.00021,0.0625,3e-05,1e-05,4.23026,24.716,0.96432,0.00012,0.00012,0.00012
2,76.904,3.78941,35.9731,0.84085,0.00021,0.0625,4e-05,2e-05,4.11483,14.85,0.91584,0.000254852,0.000254852,0.000254852
3,115.695,4.609,22.9322,0.8505,0,0,0,0,4.3523,14.8685,0.88029,0.00038416,0.00038416,0.00038416
4,193.314,4.14172,19.4695,0.84898,0,0,0,0,4.17591,17.0358,0.88041,0.000507924,0.000507924,0.000507924
5,278.86,4.03926,18.281,0.78168,0,0,0,0,3.89256,22.5566,0.95026,0.000626144,0.000626144,0.000626144
6,333.6,4.25262,14.5573,0.80942,0,0,0,0,4.2353,14.5526,0.82948,0.00073882,0.00073882,0.00073882
7,387.929,3.84677,13.1419,0.70684,0,0,0,0,4.27661,13.1404,0.82798,0.000845952,0.000845952,0.000845952
8,486.423,4.26505,13.3095,0.77278,0,0,0,0,4.7366,13.0941,0.88041,0.00094754,0.00094754,0.00094754
9,1503.26,4.2346,12.4906,0.78473,0.00021,0.0625,1e-05,1e-05,4.09795,10.1766,0.80382,0.00104358,0.00104358,0.00104358
10,1535.58,4.16274,11.2225,0.75152,0.00042,0.125,9e-05,1e-05,4.25774,9.43433,0.77954,0.00113408,0.00113408,0.00113408
11,1567.07,4.08469,12.5323,0.70788,0.00063,0.1875,0.00016,2e-05,4.39639,10.0822,0.77833,0.00121904,0.00121904,0.00121904
12,1598.48,4.07914,9.86616,0.75121,0.32301,0.125,0.085,0.02025,4.08709,9.36551,0.78427,0.00129845,0.00129845,0.00129845
13,1629.76,4.24221,9.83854,0.72088,0.27723,0.1875,0.15946,0.04745,3.90464,8.81384,0.77391,0.00137232,0.00137232,0.00137232
14,1661.41,3.87133,8.31262,0.7286,0.00063,0.1875,0.05064,0.0144,4.33252,8.25118,0.84073,0.00144064,0.00144064,0.00144064
15,1693.15,3.99219,8.24379,0.71957,0.00042,0.125,0.004,0.00184,4.63493,7.37932,0.81329,0.0014456,0.0014456,0.0014456
16,1728.93,3.52698,8.73921,0.64591,0.10443,0.125,0.01786,0.00318,4.36117,7.18198,0.76223,0.001406,0.001406,0.001406
17,1773.36,3.98835,8.93546,0.73158,0.25714,0.13035,0.07881,0.01307,4.0563,6.85011,0.74954,0.0013664,0.0013664,0.0013664
18,1816.38,3.79749,8.06687,0.70022,0.43223,0.1875,0.155,0.02117,4.15024,6.76209,0.78247,0.0013268,0.0013268,0.0013268
19,1857.68,3.9719,8.17586,0.74158,0.39671,0.24691,0.12326,0.02982,3.76017,6.83966,0.78939,0.0012872,0.0012872,0.0012872
20,1905.67,3.39422,6.9875,0.76668,0.54958,0.30577,0.21287,0.03936,3.75551,6.84635,0.81086,0.0012476,0.0012476,0.0012476
21,1957.61,3.82991,7.26054,0.78596,0.47976,0.3125,0.175,0.04087,3.90546,6.57489,0.80682,0.001208,0.001208,0.001208
22,2011.8,3.53373,7.0428,0.76327,0.32421,0.25,0.179,0.0614,3.8168,6.0112,0.7785,0.0011684,0.0011684,0.0011684
23,2072.6,3.55321,7.03914,0.7096,0.3939,0.25,0.145,0.03517,4.22687,5.84926,0.80881,0.0011288,0.0011288,0.0011288
24,2136.57,3.7662,6.85749,0.73097,0.34635,0.3125,0.19346,0.02849,4.17406,5.86421,0.8256,0.0010892,0.0010892,0.0010892
25,2198.63,3.46405,6.20789,0.71199,0.42998,0.375,0.17558,0.04056,3.98563,5.68603,0.81193,0.0010496,0.0010496,0.0010496
26,2256.89,3.73551,6.05954,0.78922,0.44123,0.3125,0.14614,0.03012,3.97807,5.93057,0.80968,0.00101,0.00101,0.00101
27,2324.28,3.45767,6.21707,0.69955,0.29493,0.25,0.14444,0.01574,4.25309,5.3615,0.77731,0.0009704,0.0009704,0.0009704
28,2383.88,3.73692,6.39247,0.7023,0.22943,0.1503,0.17262,0.03623,3.90498,5.36922,0.77653,0.0009308,0.0009308,0.0009308
29,2483.57,3.44246,5.32757,0.66825,0.42071,0.27372,0.2254,0.03886,3.78152,5.19586,0.77515,0.0008912,0.0008912,0.0008912
30,2585.73,3.66499,5.388,0.71618,0.45748,0.42243,0.25425,0.05139,3.37461,4.78766,0.74878,0.0008516,0.0008516,0.0008516
31,2636.27,3.53733,5.32387,0.71516,0.45539,0.4375,0.252,0.04988,3.58918,4.51085,0.76259,0.000812,0.000812,0.000812
32,2671,3.43985,5.48704,0.66874,0.40506,0.375,0.28967,0.07924,3.57026,4.28108,0.76171,0.0007724,0.0007724,0.0007724
33,2707.2,3.62822,5.1344,0.72165,0.36258,0.3125,0.17399,0.05957,3.58921,4.19452,0.76498,0.0007328,0.0007328,0.0007328
34,2746.55,3.44431,4.86455,0.71468,0.4102,0.1875,0.1725,0.06778,3.4667,4.57098,0.7717,0.0006932,0.0006932,0.0006932
35,3759.44,3.27145,5.4851,0.73972,0.41033,0.3125,0.27886,0.09257,3.37832,4.56813,0.75641,0.0006536,0.0006536,0.0006536
36,9538.36,3.12159,4.77657,0.66446,0.56182,0.5,0.37617,0.09542,3.48798,4.27056,0.75732,0.000614,0.000614,0.000614
37,9644.25,3.43303,4.88237,0.67335,0.41845,0.40575,0.30414,0.11146,3.32825,4.21362,0.78066,0.0005744,0.0005744,0.0005744
38,10108.6,3.20459,4.65001,0.67275,0.49452,0.4375,0.31062,0.12658,3.2788,4.14109,0.77786,0.0005348,0.0005348,0.0005348
39,14858.8,3.46591,4.98287,0.70885,0.55152,0.4375,0.30975,0.12695,3.21726,4.02073,0.78082,0.0004952,0.0004952,0.0004952
40,16864.2,3.46492,4.72075,0.67869,0.52653,0.5625,0.39104,0.12499,3.38433,4.02424,0.79009,0.0004556,0.0004556,0.0004556
41,18283.9,3.13817,5.63661,0.72197,0.51112,0.5,0.35529,0.10567,3.42533,4.0444,0.79059,0.000416,0.000416,0.000416
42,18314.7,3.19099,5.73641,0.68933,0.59234,0.45506,0.33738,0.1045,3.40878,4.03867,0.78028,0.0003764,0.0003764,0.0003764
43,18345.3,2.87145,5.33163,0.63091,0.55702,0.4375,0.33474,0.11303,3.30462,3.98745,0.77381,0.0003368,0.0003368,0.0003368
44,18376.4,2.98271,5.2972,0.72063,0.46276,0.375,0.248,0.10193,3.30475,3.86935,0.76439,0.0002972,0.0002972,0.0002972
45,18409,2.94719,5.36878,0.61945,0.46284,0.375,0.26887,0.10252,3.27633,3.87957,0.76239,0.0002576,0.0002576,0.0002576
46,18441.1,2.86522,5.08161,0.69578,0.53496,0.4318,0.28709,0.11063,3.23034,3.8953,0.76364,0.000218,0.000218,0.000218
47,18472.3,2.85328,4.69058,0.7061,0.44669,0.5,0.30687,0.11775,3.15656,3.87586,0.75976,0.0001784,0.0001784,0.0001784
48,18504,2.81998,4.86815,0.71929,0.51926,0.5,0.40216,0.12556,3.14082,3.85655,0.75899,0.0001388,0.0001388,0.0001388
49,18535.9,2.74667,4.50233,0.70326,0.51756,0.5,0.40216,0.12533,3.12797,3.83458,0.75753,9.92e-05,9.92e-05,9.92e-05
50,18568,3.04565,5.05974,0.6415,0.51092,0.5,0.40216,0.12213,3.09869,3.80479,0.75536,5.96e-05,5.96e-05,5.96e-05
